text,link,description
Platinum Choice SuperCard,rbl-bank-platinum-choice-supercard,Easy and quick finance for your daily needs The Bajaj Finserv Platinum Choice SuperCard takes care of your daily credit requirements Get Emergency advance interestfree cash withdrawals EMI Conversions on shopping spends Enjoy tons of other benefits like discount on movie tickets heavy on all your spends fuel surcharge waiver and much more Also get a special welcome gift on your premier spend Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get a bonus of  reward points as a welcome gift Get  Reward Points on reaching an annual spend milestone of Rs  easily redeemable at Get  off on movie tickets up to Rs  on any day of the month Enjoy up to  such transactions in a year Get  reward point for every Rs spent on regular spends Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month on Convert the cost of your purchases into easy EMIs with low interest rates without any paperwork Interestfree cash withdrawal up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer Shop for durables electronics and much more and divide all you buy into easy EMIs Upcoming feature Spend Rs  in a year and get second year annual fee of Rs  reversed Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via at the below if you are using your mobile phone prefix your citys STD code to the number You can also email us at A customer can earn  reward points as a welcome gift if heshe spends Rs  within  days of card issuance and if heshe has paid the joining fee The annual fee on the is Rs plus GST A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at wwwrblrewardscomSuperCard A customer can redeem hisher reward points on wwwrblrewardscomSuperCard on various categories like travel shopping voucher and mobile recharge etc Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs Annual milestone rewards are the benefits that a customer gets when heshe achieves a spending milestone In Platinum Choice SuperCard customer can earn  reward points in a year on crossing Rs  annual spend A customer can convert his cash limit into a loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year             
Platinum Choice FirstYearFree SuperCard,rbl-bank-platinum-choice-fyf-supercard,Bajaj Finserv RBL Bank Platinum Choice FYF SuperCard comes with no joining fee and empowers you with privileges like offers on movie tickets fuel surcharge waiver  much more You can accumulate reward points with every offline and online purchase along with milestone bonuses Take advantage of several industryfirst features like emergency personal loan interestfree ATM cash withdrawal and hasslefree EMI conversion of your purchases while using Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard No joining fee is charged for the first year Joining fee waived off is Rs Get  Reward Points on reaching an annual spend milestone of Rs  easily redeemable at Get  off on movie tickets up to Rs  on any day of the month Enjoy up to  such transactions in a year Get  reward point for every Rs  spent on regular spends Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month on Convert the cost of your purchases into easy EMIs with low interest rates without any paperwork Interestfree cash withdrawal up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer Shop for durables electronics and much more and divide all you buy into easy EMIs Upcoming feature Spend Rs  in a year and get second year annual fee of Rs  reversed Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via at the below if you are using your mobile phone prefix your citys STD code to the number You can also email us at The annual fee on the card is Rs  plus GST There is no joining fee for the card but welcome reward points also excluded A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at wwwrblrewardscomSuperCard A customer can redeem hisher reward points on wwwrblrewardscomSuperCard on various categories like travel shopping voucher and mobile recharge etc Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs Annual milestone rewards are the benefits that a customer gets when heshe achieves a spending milestone In Platinum Choice SuperCard customer can earn  reward points in a year on crossing Rs  annual spend A customer can convert his cash limit into a loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year              
Platinum Plus SuperCard,rbl-bank-platinum-plus-supercard,Loaded with unmatched financial benefits  endless reward options Bajaj Finserv RBL Bank Platinum Plus SuperCard empowers you with privileges like exclusive access to airport lounge offers on movie tickets fuel surcharge waiver  much more With industryfirst features like emergency advance interestfree cash withdrawal and hasslefree EMI Conversion facility this rewards you on every spend whether its a regular spend online spend or achievement of milestone spend Also enjoy a welcome benefit on your premier spend and save more the more you spend Now get a digital credit card instantly with hasslefree KYC process Get a bonus of  reward points as a welcome gift Get  additional reward points on reaching an annual spends milestone of Rs Get complimentary airport lounge access up to  times in a year along with unlimited paid access Get  reward point on every Rs spend on regular expenses Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load Total benefits per annum Rs  Save even more with unique features like personal loan cash access and easy EMIs at no additional cost Get  free movie ticket up to Rs  on twice a month on any day of the week Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month on Interestfree cash withdrawal up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer Shop for durables electronics and much more and divide all you buy into easy EMIs Upcoming feature Spend Rs  in a year and get waiver of next year annual fee Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via at the below if you are using your mobile phone prefix your citys STD code to the number You can also email us at A A customer can earn  reward points as a welcome gift if heshe spends Rs  within  days of card issuance and if heshe has paid the joining fee A The annual fee on the card is Rs  plus GST A A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at A A customer can redeem hisher reward points on on various categories like travel shopping voucher and mobile recharge etc A Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs A Annual milestone reward points are the benefits that a customer gets when heshe achieves a spending milestone In Platinum Plus SuperCard customer can earn  reward points in a year on crossing Rs  annual spend A A customer can convert his cash limit into a loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year           
Platinum Plus FirstYearFree SuperCard,rbl-bank-platinum-plus-fyf-supercard,Bajaj Finserv RBL Bank Platinum Plus FYF SuperCard comes with no joining fee and empowers you with privileges like exclusive access to airport lounge offers on movie tickets fuel surcharge waiver  much more Enjoy x reward points on every online purchase and regular points on offline purchases done with this credit card You also earn bonus points after crossing a specific milestone in a year on Take advantage of industryfirst features like zero interest emergency personal loan and ATM cash withdrawal along with easy EMI conversion facility while using the Platinum Plus SuperCard Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard No joining fee is charged for the first year Joining fee waived off is Rs Get  reward points on crossing a yearly spends of Rs Get complimentary airport lounge access up to  times in a year along with unlimited paid access Get  Reward Point on every Rs spent on regular expenses Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load Get annual savings of up to Rs  Save even more with unique features like personal loan cash access and easy EMIs at no additional cost Get  free movie ticket up to Rs  on twice a month on any day of the week Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month on Interestfree cash withdrawal up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer Shop for durables electronics and much more and divide all you buy into easy EMIs Upcoming feature Spend Rs  in a year and get waiver of next year annual fee Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via at the below if you are using your mobile phone prefix your citys STD code to the number You can also email us at A The annual fee on the card is Rs  plus GST A There is no joining fee for the card but welcome reward points also excluded A A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at A A customer can redeem hisher reward points on on various categories like travel shopping voucher and mobile recharge etc A Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs A Annual milestone reward points are the benefits that a customer gets when heshe achieves a spending milestone In Platinum Plus SuperCard customer can earn  reward points in a year on crossing Rs  annual spend A A customer can convert his cash limit into loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year        
World Prime SuperCard,rbl-world-prime-supercard,An unrivalled offering that gives you financial freedom with tons of exciting benefits Bajaj Finserv RBL Bank World Prime SuperCard offers you heavy rewards on achieving annual milestones and quick access to best in class financial benefits like emergency advances easy cash withdrawal services  EMI Finance facility on your shopping spends Enjoy complimentary airport lounge access big annual savings movie tickets offers attractive reward points on your spends fuel surcharge waiver on your SuperCard Get bonus points as a welcome gift on your premier spend Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get a bonus of  reward points as a welcome gift Get  reward points on  annual spends of Rs  and an extra  reward points on spending Rs  in a year Get complimentary airport lounge access up to  times in a year and unlimited paid access Get  Reward points for every Rs spent Get X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load Get annual savings of more than Rs Save even more with industryfirst features Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month Get  free movie tickets on BookMyShow twice a month any day of the week Interestfree cash withdrawal for up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer Shop for durables electronics furniture clothes accessories and much more and divide all you buy into easy EMIs Upcoming feature Avail our X concierge service Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us via at the below if you are using your mobile phone prefix your citys STD code to the number You can also email us at A customer can earn  reward points as a welcome gift if heshe spends Rs  within  days of card issuance and if heshe has paid the joining fee The annual fee on the is Rs  plus taxes A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at wwwrblrewardscom A customer can redeem hisher reward points on on various categories like travel shopping voucher and mobile recharge etc x reward points are accelerated reward program A customer earns x the rewards that heshe normally earns ie  reward points on every Rs  spent on the category This is applicable on dining spends on Wednesdays Maximum  reward points are credited every month Offer is applicable only on Wednesdays A customer needs to shop at the Bajaj Finserv Limited partner outlet The reward will be credited in the next monthly statement Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs A customer can convert his cash limit into a loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year         
World Plus SuperCard,rbl-bank-world-plus-supercard,A card for the elite with unmatched annual savings  rewards Bajaj Finserv RBL Bank World Plus SuperCard is a privileged that offers exceeding benefits like complimentary airport lounge access rewards on international spends dining offers and lots more earning you annual benefits of more than Rs This exclusive credit card provides emergency advance and hasslefree EMI Conversions of spends along with excellent reward points on annual milestone spends movie ticket offers and waiver on fuel surcharges Enjoy bonus points as a welcome gift on your premier spend Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Get a bonus of  reward points as a welcome gift Get  reward points on spends of Rs and additional  reward points on spends of Rs in a year Get complimentary airport lounge access  times in a year along with unlimited paid access Get  reward points for every Rs  spent on regular spends Get  reward points per Rs  spent on all dining and international spends Get annual savings of up to Rs  Save even more with industryfirst features Get  free movie ticket up to Rs  on twice a month on any day of the week Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month Interestfree cash withdrawal for up to  days Interestfree loan on cash limit for up to  days once a year Shop for durables electronics furniture clothes accessories and much more and divide all you buy into easy EMIs Upcoming feature Avail  discount on your dining spends with  reward points that you earn for every Rs  spent Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge For assistance you can reach us on the below You can also email us at A customer can earn  reward points as a welcome gift if heshe spends Rs  within  days of card issuance and if heshe has paid the joining fee The annual fee on the card is Rs  plus GST A customer earns reward points on every transaction that heshe does while using SuperCard Reward points are credited into customers account at the end of the month and can be redeemed at wwwrblrewardscomSuperCard A customer can redeem hisher reward points on wwwrblrewardscomSuperCard on various categories like travel shopping voucher and mobile recharge etc Fuel surcharge waiver is given back to the customer in the next month of the transaction To be eligible for this a customer must transact for fuel of value between Rs  to Rs  The maximum waiver in a month is Rs Annual milestone rewards are the benefits that a customer gets when heshe achieves a spending milestone In World Plus SuperCard customer can earn  reward points in a year on crossing Rs  and additional  reward points on Rs  annual spend A customer can convert his cash limit into a loan by calling customer care on  The amount is to be paid on  instalments and this facility can be availed once per year             
Doctor SuperCard,rbl-bank-doctor-supercard,Bajaj Finserv and RBL Bank present the Doctors SuperCard It is a exclusively designed for medical practitioners and is packed with numerous benefits Offering instant approval this doctors credit card is a hasslefree way of meeting your daily or monthly credit needs It also extends the benefit of gift vouchers and a rewards program to make transacting for professional and personal reasons a lot more exciting On spending Rs  lakh annually you get a voucher worth Rs  and additional vouchers worth Rs  on incremental spends of Rs Rs  lakh to Rs  lakh Get up to Rs  lakh as insurance against professional negligence Get a gift voucher of Rs  along with discounts and offers every time you shop Withdraw cash at no additional interest for up to  days Take a cash limit for urgent needs Convert purchases into easy EMIs when you shop using the SuperCard Get  complimentary domestic lounge visits in a year Avail the  offer when you book movie tickets on BookMyShow Get a monthly waiver of Rs  on fuel surcharge Get the annual fee waivedoff when you spend above Rs  lakh Spend over Rs  lakh to waive off the professional indemnity premium Get  reward point on every Rs  spent on shopping x reward points on online purchases All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCard Rs  for World Plus SuperCard and Rs  for all other World SuperCard Personal Indemnity Insurance cover is provided free of cost for first year to all the customers Charges will be levied only post customer consent in the second year if Rs  lakh spend criteria is not met in the first year Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is in India attract a cross border charge For assistance reach us on the if you are using your mobile phone prefix your citys STD code to the number You can also email us at                       
Shop Smart SuperCard,rbl-bank-shop-smart-supercard,The Bajaj Finserv Shop Smart SuperCard is loaded with features to meet all your daily and monthly credit needs Its a perfect addition for avid shoppers especially considering its range of benefits For instance as part of the welcome kit you get cashback worth Rs  by simply paying the joining fee and shopping worth Rs  in the first  days of card issuance Whats more this SuperCard can also lend itself to your other financial needs If you are facing a cash crunch you can get an emergency advance or withdraw interestfree cash from ATMs Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge It offers the benefits of  cards in  and can easily handle any credit needs you may have It offers complete security emergency advance on the cash limit and allows you to withdraw interestfree cash from ATMs When you withdraw cash from ATMs with a SuperCard you dont have to pay interest for up to  days You only pay a  processing fee The SuperCard offers an emergency loan for  months once a year The amount is based on your cash limit and has a nominal interest rate The InControl features ensure safety as you can control the usage of your card through the mobile app You can avail easy EMI financing at most Bajaj Finserv partner stores to make purchases pocket friendly You get a cashback of Rs  a  cashback on grocery purchases and a cashback worth Rs  for every lakh you spend in a year                                 
Travel Easy SuperCard,rbl-bank-travel-easy-supercard,Loaded with unmatched financial benefits Bajaj Finserv RBL Bank Travel Easy SuperCard empowers you with privileges like exclusive cashbacks on OlaUberfuel spends gift vouchers on annual spends and much more With industryfirst features like emergency advance interest freecash withdrawal and fuel surcharge freedom this rewards you on every spend whether its a regular spend online spend or achievement of milestone spend Also enjoy a welcome benefit on your premier spend and save more the more you spend Gift Vouchers worth Rs  on spends worth Rs  within  days of card issuance  payment of annual fees Gift Voucher worth Rs  on every spend of Rs  in a year cashback on OlaUberFuel Purchases up to Rs  per month Total benefits per annum Rs  Save even more with unique features like personal loan cash access and easy EMIs at no additional cost Fill your vehicle with fuel across any pump and get fuel surcharge waiver up to Rs  per month Interestfree cash withdrawal up to  days Now avail a personal loan for  days on your cash limit with a nominal interest rate of  pm no processing fee applicable Disclaimer All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge It offers the benefits of  cards in  and can easily handle any credit needs you may have It offers complete security emergency advance on the cash limit and allows you to withdraw interestfree cash from ATMs When you withdraw cash from ATMs with a SuperCard you dont have to pay interest for up to  days You only pay a  processing fee The SuperCard offers an emergency loan for  months once a year The amount is based on your cash limit and has a nominal interest rate The InControl features ensure safety as you can control the usage of your card through the mobile app You can avail easy EMI financing at most Bajaj Finserv partner stores to make purchases pocket friendly No a SuperCard member can use this card only on OLA and UBER Yes a SuperCard member can use this card to purchase CNG and Diesel at stations No there is no rewards program for this card Cardmember gets a welcome gift voucher worth Rs  redeemable on brands like Uber Yatra MakeMyTrip Goomo Fab Hotels Lifestyle Domino's Pizza Woodland Myntra  Benetton and fuel surcharge waiver of up to Rs  per month along with the industry st features Cardmembers can use this card on all fuel pumps across India                     
Value Plus SuperCard,rbl-bank-value-plus-supercard,The Bajaj Finserv RBL Bank Value Plus SuperCard is a powerful that has the power of  cards in  You can use it to address all daily or monthly needs shop affordably and enjoy a range of benefits whenever you transact For instance it offers a range of cashback offers on daytoday travelling expenses You get this benefit on fuel expenses and even benefit from a fuel surcharge waiver of up to Rs  a month It also comes with other features like the emergency advance interest freecash withdrawal and the hasslefree EMI conversion facility You also get rewarded with cashback worth Rs  for hitting a spending milestone of Rs  lakh You can redeem these at popular brands like Flipkart Shoppers Stop MakeMyTrip and many more Get gift vouchers redeemable on Flipkart MakeMyTrip and many more With every lakh you spend you get a gift voucher worth Rs Get  cashback on fuel purchases up to Rs  per month Save more than Rs  a year with the SuperCards unique offers Avail a fuel surcharge waiver of up to Rs  per month Get interestfree cash withdrawals for up to  days Take a loan on your cash limit for up to  days once a year Divide your purchases into easy EMIs when you shop using the SuperCard All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge This credit card helps address credit needs cash requirements in a cash crunch and offers the EMI facility for affordable shopping With the SuperCard you can withdraw from any ATM and get interestfree cash convert purchases into EMIs or get an instant loan Withdrawing cash from ATMs is inexpensive as you dont have to pay interest for up to  days and you only pay a  processing fee With a SuperCard you can avail an emergency loan for  months once a year The loan amount is based on your cash limit The SuperCard comes with a feature called InControl to help you monitor the usage of your card through the mobile app You get cashback offers from Bajaj Finserv partner stores No Cost EMI financing and much more Yes you can use this card to purchase CNG and diesel at fuel stations No there is no rewards program for this card Avail a welcome gift voucher worth Rs  redeemable at popular brands like Flipkart Amazon and more You can use this card at all fuel pumps across India                      
CA SuperCard,rbl-bank-ca-supercard,Bajaj Finserv and RBL Bank present a firstofitskind credit card customised for chartered accountants known as the SuperCard for Chartered Accountants This exclusive CA credit card offers features that suit your professional and personal spending habits perfectly It is a in credit card that offers savings of over Rs per annum A particularly notable aspect of this credit card for chartered accountants is that you get instant approval on your application so you can meet big and small needs in a jiffy Take a look at all the features that make this chartered accountant credit card one of the best in India Make annual spends of Rs lakh and enjoy ICAI membership fee waiver You get Rs fee reversal for FCA and Rs as a reversal for ACA Signing up for this chartered accountant credit card is absolutely free and you only have to pay an annual fee of Rs taxes thereafter Once you spend Rs lakh in a year you also qualify for a waiver on the next years annual fee Use this CA credit card to refuel your vehicle and enjoy a fuel surcharge waiver of up to Rs per month Tackle a cash crunch or tend to emergencies with ease using this credit card for chartered accountants Avail an interestfree loan for up to  days at a nominal processing fee of just Withdraw cash from any ATM in India on an interestfree basis for up to  days Earn reward points for every transaction made using the CA SuperCard and use points to shop or make down payments on the Bajaj Finserv EMI Network Earn  reward point when you spend Rs at a store X reward points on all online spends except for online purchases made on Education Insurance Utilities including BillsPay and Wallet load and  reward points for every Rs you spend on dining Gain free access to Mastercard domestic airport lounges  times a year Protect your finances with the InHand and InControl security feature These allow you to control your CA SuperCard through a smartphone app Once a month get a  free movie ticket up to Rs when you book tickets through BookMyShow Spend Rs lakh and earn an assured gift voucher worth Rs for every subsequent Rs lakh spent All the above charges are subject to change under various marketing programs The cardmember will be informed about these changes The surcharge is applicable on minimum fuel transactions of Rs  and maximum of Rs  Maximum surcharge waiver is Rs  for Platinum SuperCards Rs  for World Plus SuperCard and Rs  for all other World SuperCards Refer to IRCTC website for details Transactions at merchant establishments that are registered overseas even if the merchant is located in India attract a cross border charge It offers the benefits of  cards in  and can easily handle any credit needs you may have It offers complete security emergency advance on the cash limit and allows you to withdraw interestfree cash from ATMs No cardmember needs to achieve spend based milestone of Rs  to get ICAI fee reversal When you withdraw cash from ATMs with a SuperCard you dont have to pay interest for up to  days You only pay a  processing fee The SuperCard offers an emergency loan for  months once a year The amount is based on your cash limit and has a nominal interest rate The InControl features ensure safety as you can control the usage of your card through the mobile app You can avail easy EMI financing at most Bajaj Finserv partner stores to make purchases pocket friendly Yes a SuperCard member can use this card to purchase CNG and diesel at stations No there is no rewards program for this card Cardmembers get a welcome gift voucher worth Rs  redeemable on brands like Flipkart Spencer's Retail MakeMyTrip Amazon Bata Shoppers Stop Myntra Pizza Hut BookMyShow Pantaloons Additional fuel surcharge waiver of up to Rs  per month along with the industry st features Cardmembers can use this card on all fuel pumps across India                   
Platinum LifeEasy SuperCard,rbl-bank-platinum-life-easy-supercard,Easy and quick finance for your daily needs The Bajaj Finserv RBL Bank Platinum LifeEasy SuperCard is a credit card which lets you plan and enjoy your benefits on grocery travel and fuel purchases The card perfectly complements your spending habits and lifestyle letting you enjoy highsavings on all your grocery fuel Ola Uber coupled with bestinclass milestone vouchers Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Upgrade to your own Platinum LifeEasy SuperCard by paying a joining fee of Rs  Plus Service Tax  an annual fee of Rs  Plus Service Tax from nd year onwards Also annual fee gets waived off on spends of  Lakh and above Get a fuel surcharge waiver of up to Rs  per month Get  cashback on grocery spends Benefit of gift vouchers worth Rs  on payment of joining fees and spends of Rs  made within  days of issuance Benefit of  movie ticket on BookMyShow once a month up to Rs You can pay for your down payment using the accumulated SuperCard reward points Minimum reward points required to avail this benefit Enjoy benefit of  complimentary domestic airport lounge access in a year  per quarter Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time For assistance you can reach us via the RBL helpline at the below number if you are using your mobile phone prefix your citys STD code to the number You can also email us at The oneofitskind card in the industry not only takes care of your dailymonthly credit needs but also helps you in emergency cash requirements EMI finance options discountscashbacks on various categories and many other offerings You can experience the power of  cards in  with the SuperCard SuperCard not only comes with the regular features offered by credit cards but also offers features like Emergency loan at no interest for up to  months Cash withdrawal at no interest for up to  days Best security features through inhand security Instant approvalrejection on the application form Attractive discounts and no cost EMI options on Bajaj Finserv EMI network In times of an emergency other bank credit cards offer cash withdrawals with a lot of fee and interest With SuperCard you can easily withdraw cash from ATM for up to  days at no interest and a flat  processing fee The amount that you can withdraw will be dependent on bank policies SuperCard offers a unique feature where incase of urgent cash requirement you can request for an emergency loan by converting your cash limit into a loan for up to  months at no interest and only flat  processing fee You can avail a loan under this offer once a year and the amount that you can convert is dependent on bank policies You must return the amount in  equal monthly instalments SuperCard comes with a feature called InControl where the security of your SuperCard will be in your control You can control the use of your card through the mobile app too You will receive offers and benefits at Bajaj Finserv partner stores like no cost EMI option pay with reward points  cashback on down payment and much more You can also enjoy cashback offers discounts and much more on your regular online and offline purchase as well Yes a SuperCard member can use this card to purchase CNG and diesel at stations Cardmembers get a welcome gift voucher worth Rs   cashback on OlaUberFuel purchases Rs  per month additional fuel surcharge waiver of up to Rs  per month along with the industry st features Gift voucher worth Rs  on spending Rs  in a year Assuming spend of Rs  Gift Voucher worth Rs Cardmembers can use this card on all fuel pumps across India                  
Platinum ShopDaily SuperCard,rbl-bank-platinum-shopdaily-supercard,The Bajaj Finserv RBL Bank Platinum ShopDaily SuperCard is a credit card thats perfectly suited for the everyday shopper You get benefits on grocery travel and fuel purchases making every transaction a seamless experience Besides the shopping perks the credit card also helps you in times of emergency You can take an advance against your credit limit or withdraw from any ATM and pay no interest for up to  days Get complimentary health benefits up to Rs  on the Bajaj Finserv Health app with SuperCard Spend Rs  and get the annual fee of Rs  waived off Get Rs  cashback when you spend Rs  lakh in a year Get  cashback up to Rs  on grocery purchases every month Spend Rs  in the first month and get a gift voucher worth Rs Convert spends above Rs  into easy EMIs Borrow a loan on your cash limit for up to  days at a low interest rate Tap your card to make fast and hasslefree transactions of up to Rs Withdraw cash at ATMs and pay no interest for up to  days Tap your card to make fast and hasslefree transactions of up to Rs Use the tap and pay feature to make payments up to Rs  at a time For assistance you can reach us via the RBL helpline at the below number if you are using your mobile phone prefix your citys STD code to the number You can also email us at This credit card functions like  cards in  It can be used as a credit card loan card EMI card and debit card The SuperCard is different from other credit cards since it allows you to Besides a flat  processing fee you dont have to pay any interest for up to  days when you withdraw money from ATM The SuperCard credit limit can be used to get an emergency loan for up to  months once a year SuperCard has the InControl security feature which allows you to remotely control card usage through the app You will get a host of exclusive offers like gift vouchers worth Rs   cashback on grocery purchases and spendbased bonuses Apart from these there are many partnerspecific offers and discounts Simply call us at    or email us at                        
